epoch, reward, loss
969, -0.89, 8.3029
970, -0.73, 8.4213
971, -0.30, 8.4041
972, -0.18, 8.3859
973, 1.67, 8.3743
974, 0.42, 8.3781
975, -1.69, 8.3841
976, -1.83, 8.4105
977, 0.84, 8.3799
978, -1.40, 8.3741
979, -0.43, 8.4209
980, -0.25, 8.3867
981, 0.05, 8.3643
982, -0.67, 8.3282
983, 0.12, 8.3530
984, -0.75, 8.3828
985, 0.43, 8.3799
986, 0.81, 8.3863
987, 0.38, 8.3928
988, -0.78, 8.3650
989, 0.49, 8.3777
990, 0.09, 8.3931
991, -1.59, 8.3636
992, -0.95, 8.3168
993, -0.69, 8.3575
994, -0.77, 8.3710
995, -0.11, 8.3528
996, 0.82, 8.3491
997, -0.34, 8.3080
998, 0.86, 8.2460
999, -0.88, 8.3111
1000, 0.19, 8.3348
1001, -1.47, 8.2988
1002, -0.19, 8.2876
1003, -1.42, 8.2786
1004, -0.24, 8.2988
1005, 0.88, 8.2869
1006, 0.76, 8.3059
1007, -0.23, 8.2867
1008, -0.46, 8.2549
1009, -0.51, 8.2408
1010, 0.10, 8.2833
1011, -1.47, 8.2626
1012, -0.68, 8.2503
1013, -1.66, 8.2444
1014, -1.27, 8.1975
1015, 0.33, 8.2733
1016, 0.64, 8.2259
1017, -0.10, 8.2428
1018, -0.11, 8.2598
1019, -1.01, 8.2651
1020, -1.98, 8.2417
1021, -0.42, 8.2109
1022, -0.57, 8.1911
1023, -0.05, 8.2328
1024, 0.19, 8.2119
1025, -0.34, 8.2366
1026, -1.00, 8.1520
1027, 0.65, 8.2012
1028, -1.21, 8.2189
1029, -0.04, 8.1413
1030, -0.43, 8.2012
1031, 0.76, 8.1582
1032, -0.49, 8.1823
1033, -0.13, 8.1391
1034, -0.16, 8.1893
1035, -1.24, 8.1780
1036, 1.41, 8.1538
1037, -0.31, 8.1419
1038, 0.04, 8.1811
1039, -1.84, 8.0595
1040, -0.23, 8.1777
1041, 0.42, 8.1490
1042, -0.74, 8.1754
1043, -0.15, 8.1236
1044, 0.41, 8.1676
1045, 0.76, 8.1142
1046, -0.95, 8.1143
1047, 0.20, 8.1646
1048, -0.54, 8.1179
1049, -0.93, 8.1325
1050, -0.68, 8.1190
1051, 0.18, 8.0898
1052, -0.46, 8.1470
1053, -0.12, 8.0968
1054, -0.64, 8.1437
1055, -1.83, 8.1214
1056, -0.14, 8.0913
1057, -1.80, 8.0451
1058, 0.51, 8.0942
1059, 0.28, 8.0718
1060, -1.33, 8.1070
1061, 0.44, 8.0882
1062, -0.02, 8.0447
1063, -1.73, 8.1223
1064, 0.04, 8.0511
1065, -0.47, 8.0635
1066, -0.88, 8.0490
